,Country Name,Indicator Name,Year,Death Rate
2427,Botswana,"Death rate, crude (per 1,000 people)",1969-01-01,13.375
2428,Central African Republic,"Death rate, crude (per 1,000 people)",1969-01-01,20.852
2429,Canada,"Death rate, crude (per 1,000 people)",1969-01-01,7.3
2430,Central Europe and the Baltics,"Death rate, crude (per 1,000 people)",1969-01-01,9.711485153
2431,Switzerland,"Death rate, crude (per 1,000 people)",1969-01-01,9.5
2432,Channel Islands,"Death rate, crude (per 1,000 people)",1969-01-01,12.47038804
2433,Chile,"Death rate, crude (per 1,000 people)",1969-01-01,8.679
2434,China,"Death rate, crude (per 1,000 people)",1969-01-01,8.03
2435,Cote d'Ivoire,"Death rate, crude (per 1,000 people)",1969-01-01,21.788
2436,Cameroon,"Death rate, crude (per 1,000 people)",1969-01-01,19.165
2437,"Congo, Dem. Rep.","Death rate, crude (per 1,000 people)",1969-01-01,21.373
2438,"Congo, Rep.","Death rate, crude (per 1,000 people)",1969-01-01,14.061
2439,Colombia,"Death rate, crude (per 1,000 people)",1969-01-01,8.853
2440,Comoros,"Death rate, crude (per 1,000 people)",1969-01-01,21.003
2441,Cabo Verde,"Death rate, crude (per 1,000 people)",1969-01-01,14.332
2442,Costa Rica,"Death rate, crude (per 1,000 people)",1969-01-01,7.15
2443,Caribbean small states,"Death rate, crude (per 1,000 people)",1969-01-01,8.892433876
2444,Cuba,"Death rate, crude (per 1,000 people)",1969-01-01,7.146
2445,Curacao,"Death rate, crude (per 1,000 people)",1969-01-01,6.857
2446,Cayman Islands,"Death rate, crude (per 1,000 people)",1969-01-01,
2447,Cyprus,"Death rate, crude (per 1,000 people)",1969-01-01,9.054
2448,Czechia,"Death rate, crude (per 1,000 people)",1969-01-01,12.2
2449,Germany,"Death rate, crude (per 1,000 people)",1969-01-01,12.7
2450,Djibouti,"Death rate, crude (per 1,000 people)",1969-01-01,17.815
2451,Dominica,"Death rate, crude (per 1,000 people)",1969-01-01,10.423
2452,Denmark,"Death rate, crude (per 1,000 people)",1969-01-01,9.8
2453,Dominican Republic,"Death rate, crude (per 1,000 people)",1969-01-01,11.985
2454,Algeria,"Death rate, crude (per 1,000 people)",1969-01-01,22.381
2455,East Asia & Pacific (excluding high income),"Death rate, crude (per 1,000 people)",1969-01-01,9.264193333
2456,Early-demographic dividend,"Death rate, crude (per 1,000 people)",1969-01-01,15.93060677
2457,East Asia & Pacific,"Death rate, crude (per 1,000 people)",1969-01-01,8.958501124
2458,Europe & Central Asia (excluding high income),"Death rate, crude (per 1,000 people)",1969-01-01,10.60727639
2459,Europe & Central Asia,"Death rate, crude (per 1,000 people)",1969-01-01,10.35420673
2460,Ecuador,"Death rate, crude (per 1,000 people)",1969-01-01,12.522
2461,"Egypt, Arab Rep.","Death rate, crude (per 1,000 people)",1969-01-01,17.304
2462,Euro area,"Death rate, crude (per 1,000 people)",1969-01-01,10.87972635
2463,Eritrea,"Death rate, crude (per 1,000 people)",1969-01-01,22.706
2464,Spain,"Death rate, crude (per 1,000 people)",1969-01-01,8.9
2465,Estonia,"Death rate, crude (per 1,000 people)",1969-01-01,11.3
2466,Ethiopia,"Death rate, crude (per 1,000 people)",1969-01-01,21.756
2467,European Union,"Death rate, crude (per 1,000 people)",1969-01-01,10.59681311
2468,Fragile and conflict affected situations,"Death rate, crude (per 1,000 people)",1969-01-01,18.97934763
2469,Finland,"Death rate, crude (per 1,000 people)",1969-01-01,9.9
2470,Fiji,"Death rate, crude (per 1,000 people)",1969-01-01,7.62
2471,France,"Death rate, crude (per 1,000 people)",1969-01-01,10.9
2472,Faroe Islands,"Death rate, crude (per 1,000 people)",1969-01-01,
2473,"Micronesia, Fed. Sts.","Death rate, crude (per 1,000 people)",1969-01-01,9.536
2474,Gabon,"Death rate, crude (per 1,000 people)",1969-01-01,17.674
2475,United Kingdom,"Death rate, crude (per 1,000 people)",1969-01-01,11.9
2476,Georgia,"Death rate, crude (per 1,000 people)",1969-01-01,10.515
2477,Ghana,"Death rate, crude (per 1,000 people)",1969-01-01,18.649
2478,Gibraltar,"Death rate, crude (per 1,000 people)",1969-01-01,8.453
2479,Guinea,"Death rate, crude (per 1,000 people)",1969-01-01,25.885
2480,"Gambia, The","Death rate, crude (per 1,000 people)",1969-01-01,24.661
2481,Guinea-Bissau,"Death rate, crude (per 1,000 people)",1969-01-01,25.159
2482,Equatorial Guinea,"Death rate, crude (per 1,000 people)",1969-01-01,34.616
2483,Greece,"Death rate, crude (per 1,000 people)",1969-01-01,8.2
2484,Grenada,"Death rate, crude (per 1,000 people)",1969-01-01,8.145
2485,Greenland,"Death rate, crude (per 1,000 people)",1969-01-01,
2486,Guatemala,"Death rate, crude (per 1,000 people)",1969-01-01,16.339
2487,Guam,"Death rate, crude (per 1,000 people)",1969-01-01,5.507
2488,Guyana,"Death rate, crude (per 1,000 people)",1969-01-01,9.091
2489,High income,"Death rate, crude (per 1,000 people)",1969-01-01,9.498867486
2490,"Hong Kong SAR, China","Death rate, crude (per 1,000 people)",1969-01-01,5.0
2491,Honduras,"Death rate, crude (per 1,000 people)",1969-01-01,13.661
2492,Heavily indebted poor countries (HIPC),"Death rate, crude (per 1,000 people)",1969-01-01,21.43547501
2493,Croatia,"Death rate, crude (per 1,000 people)",1969-01-01,10.7
2494,Haiti,"Death rate, crude (per 1,000 people)",1969-01-01,18.259
2495,Hungary,"Death rate, crude (per 1,000 people)",1969-01-01,11.3
2496,IBRD only,"Death rate, crude (per 1,000 people)",1969-01-01,11.7331365
2497,IDA & IBRD total,"Death rate, crude (per 1,000 people)",1969-01-01,13.05714808
2498,IDA total,"Death rate, crude (per 1,000 people)",1969-01-01,19.19472778
2499,IDA blend,"Death rate, crude (per 1,000 people)",1969-01-01,18.06049246
2500,Indonesia,"Death rate, crude (per 1,000 people)",1969-01-01,14.112
2501,IDA only,"Death rate, crude (per 1,000 people)",1969-01-01,19.69521862
2502,Isle of Man,"Death rate, crude (per 1,000 people)",1969-01-01,17.62
2503,India,"Death rate, crude (per 1,000 people)",1969-01-01,17.51
2504,Not classified,"Death rate, crude (per 1,000 people)",1969-01-01,
2505,Ireland,"Death rate, crude (per 1,000 people)",1969-01-01,11.5
2506,"Iran, Islamic Rep.","Death rate, crude (per 1,000 people)",1969-01-01,17.154
2507,Iraq,"Death rate, crude (per 1,000 people)",1969-01-01,11.639
2508,Iceland,"Death rate, crude (per 1,000 people)",1969-01-01,7.1
2509,Israel,"Death rate, crude (per 1,000 people)",1969-01-01,6.9
2510,Italy,"Death rate, crude (per 1,000 people)",1969-01-01,10.1
2511,Jamaica,"Death rate, crude (per 1,000 people)",1969-01-01,8.596
2512,Jordan,"Death rate, crude (per 1,000 people)",1969-01-01,9.991
2513,Japan,"Death rate, crude (per 1,000 people)",1969-01-01,6.8
2514,Kazakhstan,"Death rate, crude (per 1,000 people)",1969-01-01,10.445
2515,Kenya,"Death rate, crude (per 1,000 people)",1969-01-01,14.197
2516,Kyrgyz Republic,"Death rate, crude (per 1,000 people)",1969-01-01,12.338
2517,Cambodia,"Death rate, crude (per 1,000 people)",1969-01-01,17.368
2518,Kiribati,"Death rate, crude (per 1,000 people)",1969-01-01,14.335
2519,St. Kitts and Nevis,"Death rate, crude (per 1,000 people)",1969-01-01,12.109
2520,"Korea, Rep.","Death rate, crude (per 1,000 people)",1969-01-01,8.096
2521,Kuwait,"Death rate, crude (per 1,000 people)",1969-01-01,6.309
2522,Latin America & Caribbean (excluding high income),"Death rate, crude (per 1,000 people)",1969-01-01,11.02518285
2523,Lao PDR,"Death rate, crude (per 1,000 people)",1969-01-01,20.808
2524,Lebanon,"Death rate, crude (per 1,000 people)",1969-01-01,7.968
2525,Liberia,"Death rate, crude (per 1,000 people)",1969-01-01,24.363
2526,Libya,"Death rate, crude (per 1,000 people)",1969-01-01,14.535
2527,St. Lucia,"Death rate, crude (per 1,000 people)",1969-01-01,8.828
2528,Latin America & Caribbean,"Death rate, crude (per 1,000 people)",1969-01-01,10.69736727
2529,Least developed countries: UN classification,"Death rate, crude (per 1,000 people)",1969-01-01,20.73947646
2530,Low income,"Death rate, crude (per 1,000 people)",1969-01-01,21.47656252
2531,Liechtenstein,"Death rate, crude (per 1,000 people)",1969-01-01,8.0
2532,Sri Lanka,"Death rate, crude (per 1,000 people)",1969-01-01,8.216
2533,Lower middle income,"Death rate, crude (per 1,000 people)",1969-01-01,17.06383167
2534,Low & middle income,"Death rate, crude (per 1,000 people)",1969-01-01,13.3831394
2535,Lesotho,"Death rate, crude (per 1,000 people)",1969-01-01,15.935
2536,Late-demographic dividend,"Death rate, crude (per 1,000 people)",1969-01-01,8.825324623
2537,Lithuania,"Death rate, crude (per 1,000 people)",1969-01-01,8.7
2538,Luxembourg,"Death rate, crude (per 1,000 people)",1969-01-01,12.4
2539,Latvia,"Death rate, crude (per 1,000 people)",1969-01-01,11.2
2540,"Macao SAR, China","Death rate, crude (per 1,000 people)",1969-01-01,5.922
2541,St. Martin (French part),"Death rate, crude (per 1,000 people)",1969-01-01,5.343
2542,Morocco,"Death rate, crude (per 1,000 people)",1969-01-01,16.808
2543,Monaco,"Death rate, crude (per 1,000 people)",1969-01-01,
2544,Moldova,"Death rate, crude (per 1,000 people)",1969-01-01,9.996
2545,Madagascar,"Death rate, crude (per 1,000 people)",1969-01-01,18.289
2546,Maldives,"Death rate, crude (per 1,000 people)",1969-01-01,20.693
2547,Middle East & North Africa,"Death rate, crude (per 1,000 people)",1969-01-01,16.78742522
2548,Mexico,"Death rate, crude (per 1,000 people)",1969-01-01,9.895
2549,Marshall Islands,"Death rate, crude (per 1,000 people)",1969-01-01,12.042
2550,Middle income,"Death rate, crude (per 1,000 people)",1969-01-01,12.81844857
2551,North Macedonia,"Death rate, crude (per 1,000 people)",1969-01-01,8.914
2552,Mali,"Death rate, crude (per 1,000 people)",1969-01-01,32.713
2553,Malta,"Death rate, crude (per 1,000 people)",1969-01-01,9.9
2554,Myanmar,"Death rate, crude (per 1,000 people)",1969-01-01,15.664
2555,Middle East & North Africa (excluding high income),"Death rate, crude (per 1,000 people)",1969-01-01,17.15659663
2556,Montenegro,"Death rate, crude (per 1,000 people)",1969-01-01,7.74
2557,Mongolia,"Death rate, crude (per 1,000 people)",1969-01-01,17.774
2558,Northern Mariana Islands,"Death rate, crude (per 1,000 people)",1969-01-01,
2559,Mozambique,"Death rate, crude (per 1,000 people)",1969-01-01,22.618
2560,Mauritania,"Death rate, crude (per 1,000 people)",1969-01-01,15.384
2561,Mauritius,"Death rate, crude (per 1,000 people)",1969-01-01,8.3
2562,Malawi,"Death rate, crude (per 1,000 people)",1969-01-01,29.087
2563,Malaysia,"Death rate, crude (per 1,000 people)",1969-01-01,7.281
2564,North America,"Death rate, crude (per 1,000 people)",1969-01-01,9.293202655
2565,Namibia,"Death rate, crude (per 1,000 people)",1969-01-01,14.627
2566,New Caledonia,"Death rate, crude (per 1,000 people)",1969-01-01,9.6
2567,Niger,"Death rate, crude (per 1,000 people)",1969-01-01,27.624
2568,Nigeria,"Death rate, crude (per 1,000 people)",1969-01-01,25.152
2569,Nicaragua,"Death rate, crude (per 1,000 people)",1969-01-01,13.135
2570,Netherlands,"Death rate, crude (per 1,000 people)",1969-01-01,8.4
2571,Norway,"Death rate, crude (per 1,000 people)",1969-01-01,10.1
2572,Nepal,"Death rate, crude (per 1,000 people)",1969-01-01,21.615
2573,Nauru,"Death rate, crude (per 1,000 people)",1969-01-01,8.196
2574,New Zealand,"Death rate, crude (per 1,000 people)",1969-01-01,8.69
2575,OECD members,"Death rate, crude (per 1,000 people)",1969-01-01,9.8298328
2576,Oman,"Death rate, crude (per 1,000 people)",1969-01-01,20.244
2577,Other small states,"Death rate, crude (per 1,000 people)",1969-01-01,12.97774596
2578,Pakistan,"Death rate, crude (per 1,000 people)",1969-01-01,14.395
2579,Panama,"Death rate, crude (per 1,000 people)",1969-01-01,7.864
2580,Peru,"Death rate, crude (per 1,000 people)",1969-01-01,14.096
2581,Philippines,"Death rate, crude (per 1,000 people)",1969-01-01,8.604
2582,Palau,"Death rate, crude (per 1,000 people)",1969-01-01,
2583,Papua New Guinea,"Death rate, crude (per 1,000 people)",1969-01-01,12.848
2584,Poland,"Death rate, crude (per 1,000 people)",1969-01-01,8.1
2585,Pre-demographic dividend,"Death rate, crude (per 1,000 people)",1969-01-01,22.36504306
2586,Puerto Rico,"Death rate, crude (per 1,000 people)",1969-01-01,6.5
2587,"Korea, Dem. People's Rep.","Death rate, crude (per 1,000 people)",1969-01-01,9.27
2588,Portugal,"Death rate, crude (per 1,000 people)",1969-01-01,11.5
2589,Paraguay,"Death rate, crude (per 1,000 people)",1969-01-01,9.256
2590,West Bank and Gaza,"Death rate, crude (per 1,000 people)",1969-01-01,
2591,Pacific island small states,"Death rate, crude (per 1,000 people)",1969-01-01,9.404354771
2592,Post-demographic dividend,"Death rate, crude (per 1,000 people)",1969-01-01,9.631891254
2593,French Polynesia,"Death rate, crude (per 1,000 people)",1969-01-01,7.843
2594,Qatar,"Death rate, crude (per 1,000 people)",1969-01-01,6.986
2595,Romania,"Death rate, crude (per 1,000 people)",1969-01-01,10.1
2596,Russian Federation,"Death rate, crude (per 1,000 people)",1969-01-01,8.725
2597,Rwanda,"Death rate, crude (per 1,000 people)",1969-01-01,18.112
2598,South Asia,"Death rate, crude (per 1,000 people)",1969-01-01,17.32347939
2599,Saudi Arabia,"Death rate, crude (per 1,000 people)",1969-01-01,16.08
2600,Sudan,"Death rate, crude (per 1,000 people)",1969-01-01,18.799
2601,Senegal,"Death rate, crude (per 1,000 people)",1969-01-01,23.971
2602,Singapore,"Death rate, crude (per 1,000 people)",1969-01-01,5.0
2603,Solomon Islands,"Death rate, crude (per 1,000 people)",1969-01-01,12.685
2604,Sierra Leone,"Death rate, crude (per 1,000 people)",1969-01-01,26.988
2605,El Salvador,"Death rate, crude (per 1,000 people)",1969-01-01,15.779
2606,San Marino,"Death rate, crude (per 1,000 people)",1969-01-01,
2607,Somalia,"Death rate, crude (per 1,000 people)",1969-01-01,19.471
2608,Serbia,"Death rate, crude (per 1,000 people)",1969-01-01,9.074
2609,Sub-Saharan Africa (excluding high income),"Death rate, crude (per 1,000 people)",1969-01-01,21.23286607
2610,South Sudan,"Death rate, crude (per 1,000 people)",1969-01-01,40.5
2611,Sub-Saharan Africa,"Death rate, crude (per 1,000 people)",1969-01-01,21.23286607
2612,Small states,"Death rate, crude (per 1,000 people)",1969-01-01,11.65503898
2613,Sao Tome and Principe,"Death rate, crude (per 1,000 people)",1969-01-01,13.902
2614,Suriname,"Death rate, crude (per 1,000 people)",1969-01-01,10.287
2615,Slovak Republic,"Death rate, crude (per 1,000 people)",1969-01-01,9.0
2616,Slovenia,"Death rate, crude (per 1,000 people)",1969-01-01,10.8
2617,Sweden,"Death rate, crude (per 1,000 people)",1969-01-01,10.5
2618,Eswatini,"Death rate, crude (per 1,000 people)",1969-01-01,15.705
2619,Sint Maarten (Dutch part),"Death rate, crude (per 1,000 people)",1969-01-01,5.809
2620,Seychelles,"Death rate, crude (per 1,000 people)",1969-01-01,
2621,Syrian Arab Republic,"Death rate, crude (per 1,000 people)",1969-01-01,11.006
2622,Turks and Caicos Islands,"Death rate, crude (per 1,000 people)",1969-01-01,13.021
2623,Chad,"Death rate, crude (per 1,000 people)",1969-01-01,24.308
2624,East Asia & Pacific (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1969-01-01,9.264107723
2625,Europe & Central Asia (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1969-01-01,9.615303293
2626,Togo,"Death rate, crude (per 1,000 people)",1969-01-01,19.695
2627,Thailand,"Death rate, crude (per 1,000 people)",1969-01-01,10.802
2628,Tajikistan,"Death rate, crude (per 1,000 people)",1969-01-01,13.262
2629,Turkmenistan,"Death rate, crude (per 1,000 people)",1969-01-01,12.598
2630,Latin America & the Caribbean (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1969-01-01,10.86217859
2631,Timor-Leste,"Death rate, crude (per 1,000 people)",1969-01-01,25.776
2632,Middle East & North Africa (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1969-01-01,17.15659663
2633,Tonga,"Death rate, crude (per 1,000 people)",1969-01-01,7.672
2634,South Asia (IDA & IBRD),"Death rate, crude (per 1,000 people)",1969-01-01,17.32347939
2635,Sub-Saharan Africa (IDA & IBRD countries),"Death rate, crude (per 1,000 people)",1969-01-01,21.23286607
2636,Trinidad and Tobago,"Death rate, crude (per 1,000 people)",1969-01-01,7.725
2637,Tunisia,"Death rate, crude (per 1,000 people)",1969-01-01,14.514
2638,Turkiye,"Death rate, crude (per 1,000 people)",1969-01-01,13.886
2639,Tuvalu,"Death rate, crude (per 1,000 people)",1969-01-01,13.904
2640,Tanzania,"Death rate, crude (per 1,000 people)",1969-01-01,18.848
2641,Uganda,"Death rate, crude (per 1,000 people)",1969-01-01,16.407
2642,Ukraine,"Death rate, crude (per 1,000 people)",1969-01-01,9.116
2643,Upper middle income,"Death rate, crude (per 1,000 people)",1969-01-01,9.701024294
2644,Uruguay,"Death rate, crude (per 1,000 people)",1969-01-01,9.559
2645,United States,"Death rate, crude (per 1,000 people)",1969-01-01,9.5
2646,Uzbekistan,"Death rate, crude (per 1,000 people)",1969-01-01,11.184
2647,St. Vincent and the Grenadines,"Death rate, crude (per 1,000 people)",1969-01-01,7.027
2648,"Venezuela, RB","Death rate, crude (per 1,000 people)",1969-01-01,7.355
2649,British Virgin Islands,"Death rate, crude (per 1,000 people)",1969-01-01,7.96
2650,Virgin Islands (U.S.),"Death rate, crude (per 1,000 people)",1969-01-01,7.2
2651,Viet Nam,"Death rate, crude (per 1,000 people)",1969-01-01,12.817
2652,Vanuatu,"Death rate, crude (per 1,000 people)",1969-01-01,12.155
2653,World,"Death rate, crude (per 1,000 people)",1969-01-01,12.28751243
2654,Samoa,"Death rate, crude (per 1,000 people)",1969-01-01,8.85
2655,Kosovo,"Death rate, crude (per 1,000 people)",1969-01-01,8.628
2656,"Yemen, Rep.","Death rate, crude (per 1,000 people)",1969-01-01,27.538
2657,South Africa,"Death rate, crude (per 1,000 people)",1969-01-01,12.474
2658,Zambia,"Death rate, crude (per 1,000 people)",1969-01-01,15.775
2659,Zimbabwe,"Death rate, crude (per 1,000 people)",1969-01-01,11.629
2660,Aruba,"Death rate, crude (per 1,000 people)",1970-01-01,5.88
2661,Africa Eastern and Southern,"Death rate, crude (per 1,000 people)",1970-01-01,18.87654331
2662,Afghanistan,"Death rate, crude (per 1,000 people)",1970-01-01,26.875
2663,Africa Western and Central,"Death rate, crude (per 1,000 people)",1970-01-01,23.68584169
2664,Angola,"Death rate, crude (per 1,000 people)",1970-01-01,24.407
2665,Albania,"Death rate, crude (per 1,000 people)",1970-01-01,9.013
2666,Andorra,"Death rate, crude (per 1,000 people)",1970-01-01,
2667,Arab World,"Death rate, crude (per 1,000 people)",1970-01-01,16.77652727
2668,United Arab Emirates,"Death rate, crude (per 1,000 people)",1970-01-01,7.668
2669,Argentina,"Death rate, crude (per 1,000 people)",1970-01-01,9.151
2670,Armenia,"Death rate, crude (per 1,000 people)",1970-01-01,8.491
2671,American Samoa,"Death rate, crude (per 1,000 people)",1970-01-01,
2672,Antigua and Barbuda,"Death rate, crude (per 1,000 people)",1970-01-01,5.844
2673,Australia,"Death rate, crude (per 1,000 people)",1970-01-01,9.0
2674,Austria,"Death rate, crude (per 1,000 people)",1970-01-01,13.2
2675,Azerbaijan,"Death rate, crude (per 1,000 people)",1970-01-01,10.247
2676,Burundi,"Death rate, crude (per 1,000 people)",1970-01-01,21.636
2677,Belgium,"Death rate, crude (per 1,000 people)",1970-01-01,12.3
2678,Benin,"Death rate, crude (per 1,000 people)",1970-01-01,24.108
2679,Burkina Faso,"Death rate, crude (per 1,000 people)",1970-01-01,25.107
2680,Bangladesh,"Death rate, crude (per 1,000 people)",1970-01-01,22.303
2681,Bulgaria,"Death rate, crude (per 1,000 people)",1970-01-01,9.1
2682,Bahrain,"Death rate, crude (per 1,000 people)",1970-01-01,6.904
2683,"Bahamas, The","Death rate, crude (per 1,000 people)",1970-01-01,6.637
2684,Bosnia and Herzegovina,"Death rate, crude (per 1,000 people)",1970-01-01,7.082
2685,Belarus,"Death rate, crude (per 1,000 people)",1970-01-01,7.927
2686,Belize,"Death rate, crude (per 1,000 people)",1970-01-01,8.92
2687,Bermuda,"Death rate, crude (per 1,000 people)",1970-01-01,7.6
2688,Bolivia,"Death rate, crude (per 1,000 people)",1970-01-01,19.313
2689,Brazil,"Death rate, crude (per 1,000 people)",1970-01-01,10.82
2690,Barbados,"Death rate, crude (per 1,000 people)",1970-01-01,8.59
2691,Brunei Darussalam,"Death rate, crude (per 1,000 people)",1970-01-01,6.75
2692,Bhutan,"Death rate, crude (per 1,000 people)",1970-01-01,23.621
2693,Botswana,"Death rate, crude (per 1,000 people)",1970-01-01,13.033
2694,Central African Republic,"Death rate, crude (per 1,000 people)",1970-01-01,20.302
2695,Canada,"Death rate, crude (per 1,000 people)",1970-01-01,7.3
2696,Central Europe and the Baltics,"Death rate, crude (per 1,000 people)",1970-01-01,9.625411692
2697,Switzerland,"Death rate, crude (per 1,000 people)",1970-01-01,9.2
2698,Channel Islands,"Death rate, crude (per 1,000 people)",1970-01-01,12.69390015
2699,Chile,"Death rate, crude (per 1,000 people)",1970-01-01,8.365
2700,China,"Death rate, crude (per 1,000 people)",1970-01-01,7.6
2701,Cote d'Ivoire,"Death rate, crude (per 1,000 people)",1970-01-01,21.167
2702,Cameroon,"Death rate, crude (per 1,000 people)",1970-01-01,18.599
2703,"Congo, Dem. Rep.","Death rate, crude (per 1,000 people)",1970-01-01,21.094
2704,"Congo, Rep.","Death rate, crude (per 1,000 people)",1970-01-01,13.77
2705,Colombia,"Death rate, crude (per 1,000 people)",1970-01-01,8.579
2706,Comoros,"Death rate, crude (per 1,000 people)",1970-01-01,20.45
2707,Cabo Verde,"Death rate, crude (per 1,000 people)",1970-01-01,13.913
2708,Costa Rica,"Death rate, crude (per 1,000 people)",1970-01-01,6.943
2709,Caribbean small states,"Death rate, crude (per 1,000 people)",1970-01-01,8.754154796
2710,Cuba,"Death rate, crude (per 1,000 people)",1970-01-01,6.936
2711,Curacao,"Death rate, crude (per 1,000 people)",1970-01-01,6.707
2712,Cayman Islands,"Death rate, crude (per 1,000 people)",1970-01-01,
2713,Cyprus,"Death rate, crude (per 1,000 people)",1970-01-01,9.113
2714,Czechia,"Death rate, crude (per 1,000 people)",1970-01-01,12.5
2715,Germany,"Death rate, crude (per 1,000 people)",1970-01-01,12.5
2716,Djibouti,"Death rate, crude (per 1,000 people)",1970-01-01,17.433
2717,Dominica,"Death rate, crude (per 1,000 people)",1970-01-01,9.454
2718,Denmark,"Death rate, crude (per 1,000 people)",1970-01-01,9.8
2719,Dominican Republic,"Death rate, crude (per 1,000 people)",1970-01-01,11.492
2720,Algeria,"Death rate, crude (per 1,000 people)",1970-01-01,21.882
2721,East Asia & Pacific (excluding high income),"Death rate, crude (per 1,000 people)",1970-01-01,8.902603953
2722,Early-demographic dividend,"Death rate, crude (per 1,000 people)",1970-01-01,15.95433439
2723,East Asia & Pacific,"Death rate, crude (per 1,000 people)",1970-01-01,8.655977684
2724,Europe & Central Asia (excluding high income),"Death rate, crude (per 1,000 people)",1970-01-01,10.50035453
2725,Europe & Central Asia,"Death rate, crude (per 1,000 people)",1970-01-01,10.21867909
2726,Ecuador,"Death rate, crude (per 1,000 people)",1970-01-01,12.138
2727,"Egypt, Arab Rep.","Death rate, crude (per 1,000 people)",1970-01-01,17.09
2728,Euro area,"Death rate, crude (per 1,000 people)",1970-01-01,10.62140264
2729,Eritrea,"Death rate, crude (per 1,000 people)",1970-01-01,22.336
2730,Spain,"Death rate, crude (per 1,000 people)",1970-01-01,8.3
2731,Estonia,"Death rate, crude (per 1,000 people)",1970-01-01,11.2
2732,Ethiopia,"Death rate, crude (per 1,000 people)",1970-01-01,21.818
2733,European Union,"Death rate, crude (per 1,000 people)",1970-01-01,10.37294671
2734,Fragile and conflict affected situations,"Death rate, crude (per 1,000 people)",1970-01-01,18.69397431
2735,Finland,"Death rate, crude (per 1,000 people)",1970-01-01,9.6
2736,Fiji,"Death rate, crude (per 1,000 people)",1970-01-01,7.472
2737,France,"Death rate, crude (per 1,000 people)",1970-01-01,10.8
2738,Faroe Islands,"Death rate, crude (per 1,000 people)",1970-01-01,7.4
2739,"Micronesia, Fed. Sts.","Death rate, crude (per 1,000 people)",1970-01-01,9.304
2740,Gabon,"Death rate, crude (per 1,000 people)",1970-01-01,17.288
2741,United Kingdom,"Death rate, crude (per 1,000 people)",1970-01-01,11.8
2742,Georgia,"Death rate, crude (per 1,000 people)",1970-01-01,10.521
2743,Ghana,"Death rate, crude (per 1,000 people)",1970-01-01,18.422
2744,Gibraltar,"Death rate, crude (per 1,000 people)",1970-01-01,8.194
2745,Guinea,"Death rate, crude (per 1,000 people)",1970-01-01,25.616
2746,"Gambia, The","Death rate, crude (per 1,000 people)",1970-01-01,24.168
2747,Guinea-Bissau,"Death rate, crude (per 1,000 people)",1970-01-01,24.897
2748,Equatorial Guinea,"Death rate, crude (per 1,000 people)",1970-01-01,34.376
2749,Greece,"Death rate, crude (per 1,000 people)",1970-01-01,8.4
2750,Grenada,"Death rate, crude (per 1,000 people)",1970-01-01,7.997
2751,Greenland,"Death rate, crude (per 1,000 people)",1970-01-01,
2752,Guatemala,"Death rate, crude (per 1,000 people)",1970-01-01,15.729
2753,Guam,"Death rate, crude (per 1,000 people)",1970-01-01,5.427
2754,Guyana,"Death rate, crude (per 1,000 people)",1970-01-01,9.03
2755,High income,"Death rate, crude (per 1,000 people)",1970-01-01,9.414282542
2756,"Hong Kong SAR, China","Death rate, crude (per 1,000 people)",1970-01-01,5.1
2757,Honduras,"Death rate, crude (per 1,000 people)",1970-01-01,13.245
2758,Heavily indebted poor countries (HIPC),"Death rate, crude (per 1,000 people)",1970-01-01,21.17989979
2759,Croatia,"Death rate, crude (per 1,000 people)",1970-01-01,10.0
2760,Haiti,"Death rate, crude (per 1,000 people)",1970-01-01,17.931
2761,Hungary,"Death rate, crude (per 1,000 people)",1970-01-01,11.6
2762,IBRD only,"Death rate, crude (per 1,000 people)",1970-01-01,11.44966682
2763,IDA & IBRD total,"Death rate, crude (per 1,000 people)",1970-01-01,12.88711187
2764,IDA total,"Death rate, crude (per 1,000 people)",1970-01-01,19.53316882
2765,IDA blend,"Death rate, crude (per 1,000 people)",1970-01-01,17.43669864
2766,Indonesia,"Death rate, crude (per 1,000 people)",1970-01-01,13.677
2767,IDA only,"Death rate, crude (per 1,000 people)",1970-01-01,20.45930539
2768,Isle of Man,"Death rate, crude (per 1,000 people)",1970-01-01,17.455
2769,India,"Death rate, crude (per 1,000 people)",1970-01-01,17.228
2770,Not classified,"Death rate, crude (per 1,000 people)",1970-01-01,
2771,Ireland,"Death rate, crude (per 1,000 people)",1970-01-01,11.4
2772,"Iran, Islamic Rep.","Death rate, crude (per 1,000 people)",1970-01-01,16.478
2773,Iraq,"Death rate, crude (per 1,000 people)",1970-01-01,11.172
2774,Iceland,"Death rate, crude (per 1,000 people)",1970-01-01,7.1
2775,Israel,"Death rate, crude (per 1,000 people)",1970-01-01,7.1
2776,Italy,"Death rate, crude (per 1,000 people)",1970-01-01,9.7
2777,Jamaica,"Death rate, crude (per 1,000 people)",1970-01-01,8.469
2778,Jordan,"Death rate, crude (per 1,000 people)",1970-01-01,10.087
2779,Japan,"Death rate, crude (per 1,000 people)",1970-01-01,6.9
2780,Kazakhstan,"Death rate, crude (per 1,000 people)",1970-01-01,10.332
2781,Kenya,"Death rate, crude (per 1,000 people)",1970-01-01,13.802
